,game,clip,number_of_frames,set
0,game9,Clip9,223,train
1,game1,Clip2,130,train
2,game1,Clip4,108,train
3,game2,Clip3,36,train
4,game5,Clip3,75,train
5,game10,Clip4,47,train
6,game4,Clip7,483,train
7,game10,Clip8,81,train
8,game8,Clip7,422,train
9,game9,Clip5,292,train
10,game10,Clip9,49,train
11,game4,Clip5,225,train
12,game10,Clip11,80,train
13,game4,Clip1,598,train
14,game1,Clip9,115,train
15,game10,Clip1,316,train
16,game8,Clip8,319,train
17,game8,Clip9,238,train
18,game3,Clip8,47,train
19,game1,Clip7,452,train
20,game8,Clip3,413,train
21,game7,Clip4,901,train
22,game5,Clip11,36,train
23,game5,Clip10,110,train
24,game1,Clip11,130,train
25,game2,Clip5,196,train
26,game7,Clip2,202,train
27,game3,Clip2,29,train
28,game6,Clip3,529,train
29,game5,Clip9,181,train
30,game2,Clip2,199,train
31,game7,Clip3,47,train
32,game1,Clip3,63,train
33,game6,Clip2,579,train
34,game6,Clip1,596,train
35,game5,Clip8,117,train
36,game10,Clip6,292,train
37,game9,Clip1,83,train
38,game6,Clip4,285,train
39,game3,Clip5,133,train
40,game9,Clip4,106,train
41,game9,Clip7,87,train
42,game5,Clip4,247,train
43,game4,Clip6,233,train
44,game3,Clip4,417,train
45,game1,Clip1,207,train
46,game10,Clip3,188,train
47,game1,Clip6,78,train
48,game7,Clip5,204,train
49,game5,Clip14,35,train
50,game3,Clip3,398,train
51,game4,Clip3,112,train
52,game7,Clip6,105,train
53,game9,Clip8,56,train
54,game7,Clip8,54,train
55,game5,Clip7,194,train
56,game5,Clip12,173,train
57,game3,Clip1,177,train
58,game1,Clip13,253,train
59,game7,Clip1,128,train
60,game5,Clip5,110,train
61,game1,Clip5,160,train
62,game9,Clip2,258,train
63,game10,Clip12,586,test
64,game8,Clip5,87,train
65,game10,Clip10,166,train
66,game7,Clip9,97,train
67,game2,Clip7,189,test
68,game3,Clip7,312,test
69,game8,Clip1,118,test
70,game2,Clip8,645,test
71,game1,Clip10,109,test
72,game8,Clip6,131,test
73,game5,Clip13,43,train
74,game2,Clip1,361,test
75,game5,Clip1,191,test
76,game10,Clip7,142,test
77,game9,Clip6,109,test
78,game3,Clip6,238,test
79,game4,Clip2,485,test
80,game1,Clip12,126,test
81,game8,Clip2,97,test
82,game2,Clip6,551,test
83,game2,Clip4,45,train
84,game8,Clip4,133,test
85,game10,Clip2,132,test
86,game1,Clip8,47,test
87,game10,Clip5,65,test
88,game4,Clip4,102,test
89,game9,Clip3,359,test
90,game7,Clip7,143,test
91,game5,Clip6,221,test
92,game3,Clip9,137,test
93,game5,Clip15,174,test
94,game5,Clip2,57,test
